Country Name,Country Code,Year,Value
Aruba,ABW,2000,12.1
Aruba,ABW,2011,12.4
Aruba,ABW,2024,4.6
Africa Eastern and Southern,AFE,2011,4.58905122803024
Africa Eastern and Southern,AFE,2024,6.45404408992017
Afghanistan,AFG,2011,7.6
Afghanistan,AFG,2024,11.7
Africa Western and Central,AFW,2011,4.41587371659126
Africa Western and Central,AFW,2024,4.2177974374383
Angola,AGO,2011,2.9
Angola,AGO,2024,4.9
Albania,ALB,2011,2.8
Albania,ALB,2024,10.6
Andorra,AND,2011,5.4
Andorra,AND,2024,10.1
Arab World,ARB,2011,11.9445447415724
Arab World,ARB,2024,17.2973017268651
United Arab Emirates,ARE,2011,18.8
United Arab Emirates,ARE,2024,20.7
Argentina,ARG,2011,5.5
Argentina,ARG,2024,14
Armenia,ARM,2011,8.5
Armenia,ARM,2024,7.7
Antigua and Barbuda,ATG,2011,12.5
Antigua and Barbuda,ATG,2024,11.6
Australia,AUS,2000,0
Australia,AUS,2011,6.6
Australia,AUS,2024,7.4
Austria,AUT,2011,6.6
Austria,AUT,2024,5.4
Azerbaijan,AZE,2011,2.8
Azerbaijan,AZE,2024,10.2
Burundi,BDI,2011,2.7
Burundi,BDI,2024,4.3
Belgium,BEL,2011,4.8
Belgium,BEL,2024,5.9
Benin,BEN,2011,2
Benin,BEN,2024,8.1
Burkina Faso,BFA,2011,3
Burkina Faso,BFA,2024,4.5
Bangladesh,BGD,2011,10.5
Bangladesh,BGD,2024,13.2
Bulgaria,BGR,2011,6.7
Bulgaria,BGR,2024,7.4
Bahrain,BHR,2000,14.8
Bahrain,BHR,2011,19.5
Bahrain,BHR,2024,22.1
"Bahamas, The",BHS,2011,12.1
"Bahamas, The",BHS,2024,8.9
Bosnia and Herzegovina,BIH,2011,7.5
Bosnia and Herzegovina,BIH,2024,10.3
Belarus,BLR,2011,8
Belarus,BLR,2024,5.1
Belize,BLZ,2011,17
Belize,BLZ,2024,14.1
Bermuda,BMU,2000,12.1
Bermuda,BMU,2011,12
Bermuda,BMU,2024,13.4
Bolivia,BOL,2011,6.6
Bolivia,BOL,2024,3.4
Brazil,BRA,2011,10.1
Brazil,BRA,2024,10.6
Barbados,BRB,2000,13.2
Barbados,BRB,2011,12.4
Barbados,BRB,2024,13.2
Brunei Darussalam,BRN,2011,9.4
Brunei Darussalam,BRN,2024,13.7
Bhutan,BTN,2011,5.7
Bhutan,BTN,2024,12
Botswana,BWA,2011,10.8
Botswana,BWA,2024,4.6
Central African Republic,CAF,2011,3.2
Central African Republic,CAF,2024,7.6
Canada,CAN,2011,8.4
Canada,CAN,2024,7.7
Central Europe and the Baltics,CEB,2011,7.48207256335255
Central Europe and the Baltics,CEB,2024,7.87080652268354
Switzerland,CHE,2011,5.9
Switzerland,CHE,2024,5.3
Chile,CHL,2011,9.5
Chile,CHL,2024,12.2
China,CHN,2011,8.8
China,CHN,2024,11.9
Cote d'Ivoire,CIV,2011,4.9
Cote d'Ivoire,CIV,2024,5
Cameroon,CMR,2000,0
Cameroon,CMR,2011,6.1
Cameroon,CMR,2024,6.9
"Congo, Dem. Rep.",COD,2011,3.1
"Congo, Dem. Rep.",COD,2024,7.7
"Congo, Rep.",COG,2011,5.5
"Congo, Rep.",COG,2024,8.1
Colombia,COL,2011,9.8
Colombia,COL,2024,8.4
Comoros,COM,2011,8.4
Comoros,COM,2024,10.8
Cabo Verde,CPV,2011,5.4
Cabo Verde,CPV,2024,6.8
Costa Rica,CRI,2011,9.6
Costa Rica,CRI,2024,9.8
Caribbean small states,CSS,2011,12.5856762564925
Caribbean small states,CSS,2024,12.9741084825892
Cuba,CUB,2011,9.4
Cuba,CUB,2024,9.4
Curacao,CUW,2024,13.4
Cayman Islands,CYM,2000,12.1
Cayman Islands,CYM,2011,12
Cayman Islands,CYM,2024,11.1
Cyprus,CYP,2011,9.3
Cyprus,CYP,2024,10
Czechia,CZE,2000,11.7
Czechia,CZE,2011,5.3
Czechia,CZE,2024,7.6
Germany,DEU,2011,5.3
Germany,DEU,2024,7.8
Djibouti,DJI,2011,6.3
Djibouti,DJI,2024,6.5
Dominica,DMA,2011,8.9
Dominica,DMA,2024,12.9
Denmark,DNK,2011,5.6
Denmark,DNK,2024,6.4
Dominican Republic,DOM,2011,8.1
Dominican Republic,DOM,2024,17.6
Algeria,DZA,2011,7
Algeria,DZA,2024,17.5
East Asia & Pacific (excluding high income),EAP,2011,8.07097570862458
East Asia & Pacific (excluding high income),EAP,2024,11.1353659963515
Early-demographic dividend,EAR,2011,8.80140777050446
Early-demographic dividend,EAR,2024,12.3020103575019
East Asia & Pacific,EAS,2011,8.02490678606455
East Asia & Pacific,EAS,2024,10.8651891442221
Europe & Central Asia (excluding high income),ECA,2011,5.96867339247017
Europe & Central Asia (excluding high income),ECA,2024,10.5191770154712
Europe & Central Asia,ECS,2011,6.54443202236628
Europe & Central Asia,ECS,2024,7.99502480843386
Ecuador,ECU,2011,6.6
Ecuador,ECU,2024,4.9
"Egypt, Arab Rep.",EGY,2011,16.6
"Egypt, Arab Rep.",EGY,2024,22.4
Euro area,EMU,2011,5.67045797789449
Euro area,EMU,2024,7.56051060653856
Eritrea,ERI,2011,3.6
Eritrea,ERI,2024,4.4
Spain,ESP,2011,6.3
Spain,ESP,2024,9.7
Estonia,EST,2011,7
Estonia,EST,2024,6.9
Ethiopia,ETH,2011,3.4
Ethiopia,ETH,2024,4.4
European Union,EUU,2011,6.01744173074928
European Union,EUU,2024,7.56298519694099
Finland,FIN,2011,5.8
Finland,FIN,2024,6.9
Fiji,FJI,2011,10.9
Fiji,FJI,2024,16.6
France,FRA,2011,5.4
France,FRA,2024,6.5
Faroe Islands,FRO,2024,5.3
"Micronesia, Fed. Sts.",FSM,2011,15.7
"Micronesia, Fed. Sts.",FSM,2024,19.2
Gabon,GAB,2011,10.3
Gabon,GAB,2024,8.5
United Kingdom,GBR,2011,5.2
United Kingdom,GBR,2024,7.4
Georgia,GEO,2011,2.8
Georgia,GEO,2024,6.7
Ghana,GHA,2011,5
Ghana,GHA,2024,2.7
Guinea,GIN,2011,4.4
Guinea,GIN,2024,4.6
"Gambia, The",GMB,2011,2
"Gambia, The",GMB,2024,5.5
Guinea-Bissau,GNB,2011,3
Guinea-Bissau,GNB,2024,4.8
Equatorial Guinea,GNQ,2011,4.2
Equatorial Guinea,GNQ,2024,8.2
Greece,GRC,2011,5.1
Greece,GRC,2024,8
Grenada,GRD,2000,12.1
Grenada,GRD,2011,8.6
Grenada,GRD,2024,11.3
Greenland,GRL,2024,4.3
Guatemala,GTM,2011,9.3
Guatemala,GTM,2024,13.2
Guam,GUM,2011,8.6
Guam,GUM,2024,20.3
Guyana,GUY,2011,16.7
Guyana,GUY,2024,16.4
High income,HIC,2011,7.97810346491069
High income,HIC,2024,9.72828519399888
"Hong Kong SAR, China",HKG,2000,12.1
"Hong Kong SAR, China",HKG,2011,7.6
"Hong Kong SAR, China",HKG,2024,8.2
Honduras,HND,2011,6.7
Honduras,HND,2024,5
Heavily indebted poor countries (HIPC),HPC,2011,4.34195003223281
Heavily indebted poor countries (HIPC),HPC,2024,6.61116701514905
Croatia,HRV,2011,5.2
Croatia,HRV,2024,10.5
Haiti,HTI,2011,6.6
Haiti,HTI,2024,8.5
Hungary,HUN,2011,6
Hungary,HUN,2024,8.3
IBRD only,IBD,2011,8.77358205507259
IBRD only,IBD,2024,11.0827255920625
IDA & IBRD total,IBT,2011,8.23114165514152
IDA & IBRD total,IBT,2024,10.910342158404
IDA total,IDA,2011,6.12163285416566
IDA total,IDA,2024,10.3544735635583
IDA blend,IDB,2011,6.44517702169862
IDA blend,IDB,2024,14.6088008639666
Indonesia,IDN,2011,5.1
Indonesia,IDN,2024,11.3
IDA only,IDX,2011,5.94305580479713
IDA only,IDX,2024,8.1059570912486
Isle of Man,IMN,2024,7.5
India,IND,2011,9
India,IND,2024,10.5
Ireland,IRL,2011,5.2
Ireland,IRL,2024,3.6
"Iran, Islamic Rep.",IRN,2011,11.1
"Iran, Islamic Rep.",IRN,2024,9
Iraq,IRQ,2011,9.1
Iraq,IRQ,2024,13.4
Iceland,ISL,2011,3.2
Iceland,ISL,2024,6.9
Israel,ISR,2011,7.4
Israel,ISR,2024,10.1
Italy,ITA,2011,5.1
Italy,ITA,2024,7.7
Jamaica,JAM,2011,15.7
Jamaica,JAM,2024,12.5
Jordan,JOR,2011,12.1
Jordan,JOR,2024,20.5
Japan,JPN,2011,7.7
Japan,JPN,2024,8.1
Kazakhstan,KAZ,2011,7.7
Kazakhstan,KAZ,2024,6.8
Kenya,KEN,2011,5.1
Kenya,KEN,2024,3.1
Kyrgyz Republic,KGZ,2011,6.3
Kyrgyz Republic,KGZ,2024,7.6
Cambodia,KHM,2011,2.9
Cambodia,KHM,2024,7.5
Kiribati,KIR,2011,25.3
Kiribati,KIR,2024,24.6
St. Kitts and Nevis,KNA,2000,12.1
St. Kitts and Nevis,KNA,2011,8.5
St. Kitts and Nevis,KNA,2024,13.8
"Korea, Rep.",KOR,2011,7.5
"Korea, Rep.",KOR,2024,9.6
Kuwait,KWT,2011,20.7
Kuwait,KWT,2024,25.6
Latin America & Caribbean (excluding high income),LAC,2011,10.2991774997074
Latin America & Caribbean (excluding high income),LAC,2024,11.3094933128497
Lao PDR,LAO,2011,3.3
Lao PDR,LAO,2024,6.7
Lebanon,LBN,2011,19.6
Lebanon,LBN,2024,12.3
Liberia,LBR,2011,3.3
Liberia,LBR,2024,9.2
Libya,LBY,2011,13.8
Libya,LBY,2024,15.8
St. Lucia,LCA,2011,8.4
St. Lucia,LCA,2024,11.4
Latin America & Caribbean,LCN,2011,10.2707067382556
Latin America & Caribbean,LCN,2024,11.3098941545388
Least developed countries: UN classification,LDC,2011,5.65948999251373
Least developed countries: UN classification,LDC,2024,7.85618712816249
Low income,LIC,2011,4.99261482484382
Low income,LIC,2024,7.13030769158445
Liechtenstein,LIE,2011,4.7
Liechtenstein,LIE,2024,7.2
Sri Lanka,LKA,2011,7.5
Sri Lanka,LKA,2024,10.2
Lower middle income,LMC,2011,8.40320109225212
Lower middle income,LMC,2024,11.5365290109666
Low & middle income,LMY,2011,8.18526604626397
Low & middle income,LMY,2024,11.0570304726836
Lesotho,LSO,2011,3.4
Lesotho,LSO,2024,6.2
Late-demographic dividend,LTE,2011,8.75082047069947
Late-demographic dividend,LTE,2024,10.93062914623
Lithuania,LTU,2011,7.8
Lithuania,LTU,2024,7.5
Luxembourg,LUX,2011,4.5
Luxembourg,LUX,2024,5.8
Latvia,LVA,2011,7.8
Latvia,LVA,2024,7.1
"Macao SAR, China",MAC,2011,7.2
"Macao SAR, China",MAC,2024,8.1
Morocco,MAR,2011,6.8
Morocco,MAR,2024,11.9
Monaco,MCO,2011,5.6
Monaco,MCO,2024,6.9
Moldova,MDA,2011,2.7
Moldova,MDA,2024,6.3
Madagascar,MDG,2011,4.7
Madagascar,MDG,2024,4.6
Maldives,MDV,2011,9.2
Maldives,MDV,2024,9.5
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2011,10.7225516736037
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,20.136911070149
Mexico,MEX,2000,14.2
Mexico,MEX,2011,15.6
Mexico,MEX,2024,16.4
Marshall Islands,MHL,2011,21.8
Marshall Islands,MHL,2024,25.7
Middle income,MIC,2011,8.43028126507396
Middle income,MIC,2024,11.4411245608188
North Macedonia,MKD,2011,7.7
North Macedonia,MKD,2024,7.4
Mali,MLI,2011,1.9
Mali,MLI,2024,4.8
Malta,MLT,2011,6.6
Malta,MLT,2024,10
Myanmar,MMR,2011,7.1
Myanmar,MMR,2024,6.7
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2011,10.1083862462786
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,20.0769514378744
Montenegro,MNE,2011,7.7
Montenegro,MNE,2024,10.7
Mongolia,MNG,2011,7.1
Mongolia,MNG,2024,10.3
Mozambique,MOZ,2011,3.1
Mozambique,MOZ,2024,3
Mauritania,MRT,2011,4.3
Mauritania,MRT,2024,5.2
Mauritius,MUS,2000,15
Mauritius,MUS,2011,14.8
Mauritius,MUS,2024,20.1
Malawi,MWI,2011,5.6
Malawi,MWI,2024,5.7
Malaysia,MYS,2011,12.1
Malaysia,MYS,2024,21.1
North America,NAC,2011,9.2978023991404
North America,NAC,2024,13.0352603251899
Namibia,NAM,2011,7.8
Namibia,NAM,2024,5.3
New Caledonia,NCL,2011,8.6
New Caledonia,NCL,2024,22
Niger,NER,2011,4.2
Niger,NER,2024,4.1
Nigeria,NGA,2011,4.8
Nigeria,NGA,2024,3
Nicaragua,NIC,2011,11
Nicaragua,NIC,2024,10.4
Netherlands,NLD,2011,5.3
Netherlands,NLD,2024,5
Norway,NOR,2011,4.7
Norway,NOR,2024,4.8
Nepal,NPL,2011,3.6
Nepal,NPL,2024,7.7
Nauru,NRU,2011,20.4
Nauru,NRU,2024,21.8
New Zealand,NZL,2011,8.6
New Zealand,NZL,2024,6.7
OECD members,OED,2011,8.08407691450804
OECD members,OED,2024,10.5162075229361
Oman,OMN,2011,10.5
Oman,OMN,2024,17
Other small states,OSS,2011,7.88591980897521
Other small states,OSS,2024,9.72961841247687
Pakistan,PAK,2000,11.8
Pakistan,PAK,2011,7.9
Pakistan,PAK,2024,31.4
Panama,PAN,2011,9.4
Panama,PAN,2024,11.1
Peru,PER,2011,6
Peru,PER,2024,6.4
Philippines,PHL,2011,9.7
Philippines,PHL,2024,7.5
Palau,PLW,2011,11.1
Palau,PLW,2024,19.3
Papua New Guinea,PNG,2000,15.5
Papua New Guinea,PNG,2011,7.6
Papua New Guinea,PNG,2024,14.1
Poland,POL,2011,9
Poland,POL,2024,8.1
Pre-demographic dividend,PRE,2011,4.59383384314183
Pre-demographic dividend,PRE,2024,6.34544213929058
Puerto Rico (US),PRI,2011,13
Puerto Rico (US),PRI,2024,10.9
"Korea, Dem. People's Rep.",PRK,2011,8.4
"Korea, Dem. People's Rep.",PRK,2024,9.9
Portugal,PRT,2011,9.6
Portugal,PRT,2024,10.5
Paraguay,PRY,2011,6.5
Paraguay,PRY,2024,9.4
West Bank and Gaza,PSE,2011,9.2
West Bank and Gaza,PSE,2024,15.5
Pacific island small states,PSS,2011,13.4162047389065
