Country Name,Country Code,Year,Value
Africa Eastern and Southern,AFE,2000,20.954483096496
Africa Eastern and Southern,AFE,2010,29.4291032612539
Africa Eastern and Southern,AFE,2015,35.3360317086407
Africa Eastern and Southern,AFE,2019,39.8105694557497
Africa Eastern and Southern,AFE,2020,39.7693474523757
Africa Eastern and Southern,AFE,2021,36.6179767342939
Afghanistan,AFG,2000,29.5170206779074
Afghanistan,AFG,2010,36.9191277782611
Afghanistan,AFG,2015,37.6741975706194
Afghanistan,AFG,2019,40.674492713014
Afghanistan,AFG,2020,39.8129250611588
Afghanistan,AFG,2021,34.2581757399119
Africa Western and Central,AFW,2000,20.0548251385018
Africa Western and Central,AFW,2010,25.3375548684976
Africa Western and Central,AFW,2015,28.0220783076804
Africa Western and Central,AFW,2019,30.6797455642295
Africa Western and Central,AFW,2020,31.2128307669713
Africa Western and Central,AFW,2021,31.3558093159291
Angola,AGO,2000,20.5113155322662
Angola,AGO,2010,26.2226231011673
Angola,AGO,2015,30.6735492766331
Angola,AGO,2019,35.2601729043332
Angola,AGO,2020,36.1245982893817
Angola,AGO,2021,35.3015592386942
Albania,ALB,2000,83.9856929293284
Albania,ALB,2010,89.7998948414282
Albania,ALB,2015,92.522320261531
Albania,ALB,2019,93.7401909070876
Albania,ALB,2020,81.7680784888644
Albania,ALB,2021,66.8816650654335
Arab World,ARB,2000,55.7152667610483
Arab World,ARB,2010,63.1463493723584
Arab World,ARB,2015,63.7855168019462
Arab World,ARB,2019,68.6177234806777
Arab World,ARB,2020,61.942767467924
Arab World,ARB,2021,58.1741964955719
United Arab Emirates,ARE,2000,59.1078534622672
United Arab Emirates,ARE,2010,64.4731115513979
United Arab Emirates,ARE,2015,70.0670571257618
United Arab Emirates,ARE,2019,74.4075506275448
United Arab Emirates,ARE,2020,65.2438584760943
United Arab Emirates,ARE,2021,68.0935518921907
Argentina,ARG,2000,80.2796280617581
Argentina,ARG,2010,79.1830647350925
Argentina,ARG,2015,77.8748959579501
Argentina,ARG,2019,76.9165260474124
Argentina,ARG,2020,66.0897546799166
Argentina,ARG,2021,60.5102125326468
Armenia,ARM,2000,90.0111713680585
Armenia,ARM,2010,91.1005607001697
Armenia,ARM,2015,90.24553905657
Armenia,ARM,2019,88.2013896191352
Armenia,ARM,2020,70.4796661497668
Armenia,ARM,2021,71.9361694533847
Antigua and Barbuda,ATG,2000,81.0170820306691
Antigua and Barbuda,ATG,2010,78.8112478047453
Antigua and Barbuda,ATG,2015,83.2273356506449
Antigua and Barbuda,ATG,2019,87.2696719393383
Antigua and Barbuda,ATG,2020,83.484280445353
Antigua and Barbuda,ATG,2021,69.5647997186751
Australia,AUS,2000,89.7191942899114
Australia,AUS,2010,90.3507751804588
Australia,AUS,2015,89.4393216094431
Australia,AUS,2019,88.9008879352998
Australia,AUS,2020,89.6457263600863
Australia,AUS,2021,89.6272717929647
Austria,AUT,2000,91.6623868590637
Austria,AUT,2010,91.782173395958
Austria,AUT,2015,91.8956959871732
Austria,AUT,2019,90.8942559129377
Austria,AUT,2020,84.5072627083873
Austria,AUT,2021,83.5282904653652
Azerbaijan,AZE,2000,75.5124276218029
Azerbaijan,AZE,2010,83.5172472801286
Azerbaijan,AZE,2015,85.0348112613564
Azerbaijan,AZE,2019,87.2778260432938
Azerbaijan,AZE,2020,69.7870717365594
Azerbaijan,AZE,2021,58.7616169551952
Burundi,BDI,2000,18.7483133629691
Burundi,BDI,2010,28.1219371358567
Burundi,BDI,2015,32.8898679091363
Burundi,BDI,2019,36.8831915735238
Burundi,BDI,2020,37.5895193545548
Burundi,BDI,2021,38.847359533099
Belgium,BEL,2000,85.8924648219421
Belgium,BEL,2010,86.3734382012707
Belgium,BEL,2015,85.7784605951264
Belgium,BEL,2019,84.8671629067128
Belgium,BEL,2020,69.8805198963627
Belgium,BEL,2021,75.8535971254692
Benin,BEN,2000,26.5235055953537
Benin,BEN,2010,32.1988167433116
Benin,BEN,2015,34.6662564482214
Benin,BEN,2019,36.7245534730502
Benin,BEN,2020,37.6989055795381
Benin,BEN,2021,36.2332421726356
Burkina Faso,BFA,2000,20.9560246477506
Burkina Faso,BFA,2010,27.3124720740348
Burkina Faso,BFA,2015,32.8202106096331
Burkina Faso,BFA,2019,36.1212714408879
Burkina Faso,BFA,2020,36.767338958295
Burkina Faso,BFA,2021,35.6163851436063
Bangladesh,BGD,2000,42.4504306053655
Bangladesh,BGD,2010,57.4816654814097
Bangladesh,BGD,2015,63.5352048776694
Bangladesh,BGD,2019,70.9174085076867
Bangladesh,BGD,2020,66.363438580376
Bangladesh,BGD,2021,63.0722471595286
Bulgaria,BGR,2000,92.7777128720619
Bulgaria,BGR,2010,94.8866147188027
Bulgaria,BGR,2015,95.1984845473133
Bulgaria,BGR,2019,95.4116219017811
Bulgaria,BGR,2020,87.9294604556972
Bulgaria,BGR,2021,76.613619336916
Bahrain,BHR,2000,78.4147281867084
Bahrain,BHR,2010,85.2710098419569
Bahrain,BHR,2015,85.6802669407443
