country,code,diabetes_prevalence_pct,military_exp_pct_gdp,hospital_beds_per_1000,gdp_per_capita_usd,life_expectancy_years,ncd_deaths_pct
Pakistan,PAK,31.4,2.66760037007452,0.63,1595.90912252837,67.799,52.0324546491852
Marshall Islands,MHL,25.7,,2.8,8489.05793506422,67.075,
Kuwait,KWT,25.6,4.84093247384389,2.33,32312.3119953634,84.580487804878,58.9727028596486
Samoa,WSM,25.4,,0.95,5872.78333308796,71.826,83.1080773081113
Kiribati,KIR,24.6,,1.86,2558.66636011102,66.6,65.5251644199295
Qatar,QAT,24.6,6.50020565272303,1.25,72524.9066385222,82.522,62.401074803005
Saudi Arabia,SAU,23.1,7.2981029390103,2.41,34536.6555456551,78.982,67.6288366416577
French Polynesia,PYF,22.8,,,22439.8838746025,84.192,
"Egypt, Arab Rep.",EGY,22.4,0.665263620234986,1.06,3085.80712036204,71.806,64.215855638486
Bahrain,BHR,22.1,2.8946654057963,1.84,30596.5794898885,81.423,74.3835017653742
New Caledonia,NCL,22.0,,,29213.1923192946,78.921,
Nauru,NRU,21.8,,4.97,14639.5046929186,62.279,
Malaysia,MYS,21.1,0.987556748730683,1.96,13124.5554178269,76.821,65.0026541298491
United Arab Emirates,ARE,20.7,5.64365135247024,1.87,50273.5126243239,83.069,68.0935518921907
Jordan,JOR,20.5,4.80018703722722,1.41,5347.77731384797,77.981,54.0501214968489
Guam,GUM,20.3,,,41833.1517132825,77.422,
Mauritius,MUS,20.1,0.149590857574221,3.8,12991.2935987166,73.7890243902439,80.899218542031
Vanuatu,VUT,19.7,,1.73,4038.73520713411,71.654,71.6865744328919
Tonga,TON,19.6,,2.48,6547.18646814228,73.07,84.6088784015214
Palau,PLW,19.3,,4.34,19532.3557719527,69.383,
"Micronesia, Fed. Sts.",FSM,19.2,,3.22,4414.00737137479,67.357,78.2923008826787
Tuvalu,TUV,19.0,,4.16,6344.7750188689,67.259,
Syrian Arab Republic,SYR,19.0,4.05614173609585,1.43,1056.78264718197,72.56,73.687760387098
Sudan,SDN,19.0,0.925377247984565,0.66,1164.53991699219,66.521,42.9313315142701
Dominican Republic,DOM,17.6,0.782420068931067,0.75,11059.2081531834,73.868,63.7217382329138
Algeria,DZA,17.5,7.97145723551219,1.61,6051.00322704182,76.475,73.8911228021245
Oman,OMN,17.0,5.59419531945284,0.99,19947.3966227092,80.246,52.1030118873433
Fiji,FJI,16.6,1.3128793789726,1.89,6642.00449450523,67.463,67.3055177326328
Turkiye,TUR,16.5,1.92255231276371,3.05,18599.4420922378,77.421,68.764261094899
Mexico,MEX,16.4,0.893257529320534,1.01,13889.2339628708,75.264,53.5759036602133
Guyana,GUY,16.4,0.868162254451279,3.24,32413.7930757518,70.319,47.210387944656
Tunisia,TUN,16.0,2.50636792573464,1.82,4656.63818386852,76.711,56.9283562498987
Libya,LBY,15.8,5.28705130951195,3.5,6448.82415074121,71.121,62.703708770059
West Bank and Gaza,PSE,15.5,,1.3,3171.10844621579,69.213,64.8408960483036
Belize,BLZ,14.1,0.898885869151742,1.0,7865.47937690933,73.739,53.9541363893056
Papua New Guinea,PNG,14.1,0.307995782327758,0.62,3019.5309140573,66.256,47.6051011952331
Argentina,ARG,14.0,0.618350391157195,3.36,14898.0885943842,77.543,60.5102125326468
St. Kitts and Nevis,KNA,13.8,,3.98,25223.0257622185,72.281,
Suriname,SUR,13.8,,2.87,7069.87230892274,73.757,49.9654798875738
Brunei Darussalam,BRN,13.7,3.57781609529419,3.58,32234.6428368582,75.501,80.7770563283158
United States,USA,13.7,3.41921653228044,2.68,90026.5163005744,78.890243902439,77.3875489533893
Bermuda,BMU,13.4,,6.3000001907,142250.433195123,82.49,
Curacao,CUW,13.4,,,22832.895498987,76.989,
Iraq,IRQ,13.4,2.35714058035714,1.06,5409.67899716967,72.424,63.4277606354426
Bangladesh,BGD,13.2,0.941321120606305,0.92,2597.34352335275,74.93,63.0722471595286
Barbados,BRB,13.2,,6.4,28364.8181499736,76.332,79.1796925751197
Guatemala,GTM,13.2,0.367622067360881,0.45,6598.18032988711,72.746,42.7090031679956
Dominica,DMA,12.9,,3.97,10989.0431185083,71.294,
El Salvador,SLV,12.7,1.18611916982816,1.21,5766.72574029107,72.302,53.9249973085079
Jamaica,JAM,12.5,1.27385736005958,1.65,8002.92104076242,71.606,68.6802411790269
